         143478 function calls (138828 primitive calls) in 0.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      155    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
   447/75    0.005    0.000    0.013    0.000 _parser.py:512(_parse)
      423    0.004    0.000    0.013    0.000 {built-in method builtins.__build_class__}
      768    0.002    0.000    0.002    0.000 {built-in method posix.stat}
   816/70    0.002    0.000    0.007    0.000 _compiler.py:37(_compile)
      155    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      383    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      155    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        7    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      412    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      155    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     2056    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
13442/12444    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     5717    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
     6417    0.001    0.000    0.002    0.000 _parser.py:261(get)
    12203    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     8243    0.001    0.000    0.001    0.000 _parser.py:240(__next)
    10461    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        7    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      196    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      213    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
    157/1    0.001    0.000    0.088    0.088 {built-in method builtins.exec}
  586/548    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa43b40}
      155    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
  895/152    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
   330/70    0.001    0.000    0.013    0.000 _parser.py:452(_parse_sub)
    197/2    0.001    0.000    0.088    0.044 <frozen importlib._bootstrap>:1349(_find_and_load)
      310    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      213    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
       16    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
     3970    0.001    0.000    0.001    0.000 _parser.py:256(match)
     4170    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      185    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      213    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
2476/2408    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
    197/2    0.000    0.000    0.088    0.044 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
